state,ratio_dem,ratio_rep,EV,Abbrev
Alabama,34.4,62.1,9,AL
Alaska,36.6,51.3,3,AK
Arizona,45.1,48.7,11,AZ
Arkansas,33.7,60.6,6,AR
California,61.7,31.6,55,CA
Colorado,48.2,43.3,9,CO
Connecticut,54.6,40.9,7,CT
Delaware,53.1,41.7,3,DE
District of Columbia,90.5,4.1,3,DC
Florida,47.8,49,29,FL
Georgia,45.6,50.8,16,GA
Hawaii,62.2,30,4,HI
Idaho,27.5,59.3,4,ID
Illinois,55.8,38.8,20,IL
Indiana,37.9,56.8,11,IN
Iowa,41.7,51.2,6,IA
Kansas,36.1,56.7,6,KS
Kentucky,32.7,62.5,8,KY
Louisiana,38.5,58.1,8,LA
Maine,47.8,44.9,2,ME
Maryland,60.3,33.9,10,MD
Massachusetts,60,32.8,11,MA
Michigan,47.3,47.5,16,MI
Minnesota,46.4,44.9,10,MN
Mississippi,40.1,57.9,6,MS
Missouri,38.1,56.8,10,MO
Montana,35.8,56.2,3,MT
Nebraska,33.7,58.7,2,NE
Nevada,47.9,45.5,6,NV
New Hampshire,47,46.6,4,NH
New Jersey,55,41,14,NJ
New Mexico,48.3,40,5,NM
New York,59,36.5,29,NY
North Carolina,46.2,49.8,15,NC
North Dakota,27.2,63,3,ND
Ohio,43.6,51.7,18,OH
Oklahoma,28.9,65.3,7,OK
Oregon,50.1,39.1,7,OR
Pennsylvania,47.5,48.2,20,PA
Rhode Island,54.4,38.9,4,RI
South Carolina,40.7,54.9,9,SC
South Dakota,31.7,61.5,3,SD
Tennessee,34.7,60.7,11,TN
Texas,43.2,52.2,38,TX
Utah,27.5,45.5,6,UT
Vermont,56.7,30.3,3,VT
Virginia,49.7,44.4,13,VA
Washington,52.5,36.8,12,WA
West Virginia,26.4,68.5,5,WV
Wisconsin,46.5,47.2,10,WI
Wyoming,21.6,67.4,3,WY
